strategy,threshold,margin,alpha,beta,gamma,source_accuracy,top1_accuracy,mrr,fpr_local,fnr_local,precision_local,recall_local,f1_local,kb_utilization,local_rate,openai_rate,openai_calls,false_compliance,total_cost,tp_local,fp_local,fn_local,tn_local,objective_source_accuracy,objective_f1_local,objective_cost
cosine_threshold,0.50,0.00,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3750,0.0870,0.7368,0.9130,0.8155,0.9130,0.6628,0.0698,6,2,135.8000,42,15,4,25,0.7674,0.8155,135.8000
cosine_threshold,0.51,0.00,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3500,0.1087,0.7455,0.8913,0.8119,0.8913,0.6395,0.0930,8,2,130.4000,41,14,5,26,0.7674,0.8119,130.4000
cosine_threshold,0.52,0.00,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3500,0.1087,0.7455,0.8913,0.8119,0.8913,0.6395,0.0930,8,2,130.4000,41,14,5,26,0.7674,0.8119,130.4000
cosine_threshold,0.53,0.00,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3500,0.1087,0.7455,0.8913,0.8119,0.8913,0.6395,0.0930,8,2,130.4000,41,14,5,26,0.7674,0.8119,130.4000
cosine_threshold,0.54,0.00,0.70,0.20,0.10,0.7791,0.8478,0.8986,0.3250,0.1087,0.7593,0.8913,0.8200,0.8913,0.6279,0.1047,9,2,122.7000,41,13,5,27,0.7791,0.8200,122.7000
cosine_threshold,0.55,0.00,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3250,0.1304,0.7547,0.8696,0.8081,0.8696,0.6163,0.1163,10,2,125.0000,40,13,6,27,0.7674,0.8081,125.0000
cosine_threshold,0.56,0.00,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3250,0.1304,0.7547,0.8696,0.8081,0.8696,0.6163,0.1163,10,2,125.0000,40,13,6,27,0.7674,0.8081,125.0000
cosine_threshold,0.57,0.00,0.70,0.20,0.10,0.7791,0.8478,0.8986,0.2750,0.1522,0.7800,0.8478,0.8125,0.8478,0.5814,0.1512,13,2,111.9000,39,11,7,29,0.7791,0.8125,111.9000
cosine_threshold,0.58,0.00,0.70,0.20,0.10,0.8023,0.8478,0.8986,0.2000,0.1739,0.8261,0.8261,0.8261,0.8261,0.5349,0.1977,17,2,91.1000,38,8,8,32,0.8023,0.8261,91.1000
cosine_threshold,0.59,0.00,0.70,0.20,0.10,0.8256,0.8478,0.8986,0.1250,0.1957,0.8810,0.8043,0.8409,0.8043,0.4884,0.2442,21,2,70.3000,37,5,9,35,0.8256,0.8409,70.3000
cosine_threshold,0.60,0.00,0.70,0.20,0.10,0.8140,0.8478,0.8986,0.1250,0.2174,0.8780,0.7826,0.8276,0.7826,0.4767,0.2558,22,2,72.6000,36,5,10,35,0.8140,0.8276,72.6000
cosine_threshold,0.61,0.00,0.70,0.20,0.10,0.8140,0.8478,0.8986,0.0750,0.2609,0.9189,0.7391,0.8193,0.7391,0.4302,0.3023,26,2,61.8000,34,3,12,37,0.8140,0.8193,61.8000
cosine_threshold,0.62,0.00,0.70,0.20,0.10,0.8140,0.8478,0.8986,0.0750,0.2609,0.9189,0.7391,0.8193,0.7391,0.4302,0.3023,26,2,61.8000,34,3,12,37,0.8140,0.8193,61.8000
cosine_threshold,0.63,0.00,0.70,0.20,0.10,0.8256,0.8478,0.8986,0.0500,0.2609,0.9444,0.7391,0.8293,0.7391,0.4186,0.3140,27,2,54.1000,34,2,12,38,0.8256,0.8293,54.1000
cosine_threshold,0.64,0.00,0.70,0.20,0.10,0.8256,0.8478,0.8986,0.0250,0.2826,0.9706,0.7174,0.8250,0.7174,0.3953,0.3372,29,2,48.7000,33,1,13,39,0.8256,0.8250,48.7000
cosine_threshold,0.65,0.00,0.70,0.20,0.10,0.8140,0.8478,0.8986,0.0250,0.3043,0.9697,0.6957,0.8101,0.6957,0.3837,0.3488,30,2,51.0000,32,1,14,39,0.8140,0.8101,51.0000
cosine_threshold,0.66,0.00,0.70,0.20,0.10,0.8140,0.8478,0.8986,0.0250,0.3043,0.9697,0.6957,0.8101,0.6957,0.3837,0.3488,30,2,51.0000,32,1,14,39,0.8140,0.8101,51.0000
